Date,Close,RSI,MACD,Upper_band,Lower_band,EMA_20,EMA_50
6/7/2019,181.0399933,46.56121247,0.182351676,186.4925393,171.3594596,179.0047829,180.3256456
6/10/2019,183.1499939,55.69394042,0.617288478,186.127722,171.5392763,179.3995649,180.4364043
6/11/2019,183.3999939,52.96560462,0.892634576,186.646664,171.5023335,179.7805582,180.5526235
6/12/2019,182.3399963,52.47004351,0.967882736,186.851916,171.4770818,180.0243142,180.6227166
6/13/2019,183.4199982,60.32759742,1.048132513,186.9052208,171.4567772,180.3477127,180.7324139
6/14/2019,182.6399994,58.70916185,1.006220581,186.494096,171.6389027,180.5660257,180.8072212
6/17/2019,183.7400055,61.95027565,1.007621289,186.6140462,171.5889537,180.8683095,180.9222323
6/18/2019,186.4100037,68.96929617,1.133992746,187.6155077,171.2334929,181.3960899,181.1374391
6/19/2019,187.1100006,68.92385352,1.203763372,188.5211719,170.8558286,181.9402718,181.3716572
6/20/2019,188.8500061,78.39177979,1.298027498,189.8097297,170.3502709,182.5983418,181.6649257
6/21/2019,188.5700073,90.65669948,1.270831774,190.98909,170.2029114,183.1670718,181.9357133
6/24/2019,188.1600037,86.18241881,1.157739922,191.9477045,170.2442968,183.6425891,182.1798031
6/25/2019,184.9299927,71.54146145,0.8141335,192.3093064,170.6266937,183.765199,182.2876536
6/26/2019,185.7899933,70.76138987,0.603216839,192.6442228,171.2677768,183.9580366,182.4250003
6/27/2019,186.5,66.07773344,0.475577035,193.0220307,171.8629684,184.2001283,182.5848042
6/28/2019,186.7400055,61.87956387,0.375746326,193.0272979,173.136702,184.4420214,182.7477533
7/1/2019,189.2599945,66.85844022,0.443225929,192.268019,175.8099809,184.900876,183.0031353
7/2/2019,190.0099945,72.46628009,0.498068237,192.228886,177.359113,185.3874587,183.2779141
7/3/2019,191.4400024,73.01949215,0.584376128,192.3835388,178.7274598,185.9638914,183.597996
7/5/2019,191.0500031,74.69168877,0.568401108,192.374506,180.0804928,186.448283,183.8902315
7/8/2019,189.7100067,67.28429204,0.42723249,192.4818556,180.8401445,186.7589234,184.118458
7/9/2019,190.6600037,63.66557876,0.360163516,192.8726143,181.2003868,187.1304548,184.3749892
7/10/2019,192.5599976,66.26863279,0.402860329,193.562113,181.4268884,187.6475541,184.6959699
7/11/2019,192.4199982,61.78214491,0.381012168,193.9365477,182.060454,188.1020726,184.998873
7/12/2019,193.5299988,65.51936184,0.398757461,194.521713,182.4862887,188.619018,185.333427
7/15/2019,194.1499939,68.49904055,0.408209071,194.9352725,183.2237287,189.1457776,185.6791747
7/16/2019,193.1499939,79.44128314,0.307652197,195.1037398,183.9962602,189.5271315,185.972148
7/17/2019,192.1999969,72.81142075,0.14590537,195.3070273,184.3719721,189.7816901,186.2163774
7/18/2019,192.4199982,71.8289303,0.028618905,195.5299871,184.6800119,190.0329576,186.4596566
7/19/2019,191.0099945,64.49421139,-0.158740649,195.6187573,184.8072406,190.1260087,186.6381012
7/22/2019,192.5299988,61.90824942,-0.192850896,195.8533384,184.9686587,190.3549601,186.869156
7/23/2019,193.7899933,63.27247673,-0.145273001,196.2262478,185.1587482,190.6821061,187.1405614
7/24/2019,195.1499939,63.09102304,-0.042275411,196.3721631,186.034833,191.1076193,187.4546568
7/25/2019,193.3000031,57.19770854,-0.114698934,196.14814,187.0098571,191.3164177,187.6838861
7/26/2019,195.2899933,67.13758431,-0.047956408,196.205648,187.8313484,191.6948535,187.9821648
7/29/2019,194.6199951,62.3749969,-0.067130996,195.9391974,188.8857981,191.9734384,188.2424719
7/30/2019,193.7799988,54.08301042,-0.149847483,195.8825665,189.3944293,192.1454918,188.4596298
7/31/2019,191.1000061,46.22427147,-0.385137402,195.784155,189.601842,192.0459217,188.5631739
8/1/2019,190.1499939,40.24246706,-0.592441988,195.8794444,189.3775517,191.8653572,188.6254022
8/2/2019,187.3500061,32.56410658,-0.888049485,196.4141121,188.4728843,191.4353237,188.5753866
8/5/2019,180.7299957,25.27864624,-1.465268176,198.4929115,185.4960839,190.4157687,188.2677243
8/6/2019,183.2599945,33.25841091,-1.601464698,199.1967767,184.0522177,189.7342664,188.0713427
8/7/2019,184.25,35.12922762,-1.548726134,199.4477693,182.9702254,189.2119553,187.9214861
8/8/2019,188.2599945,45.42733269,-1.184072857,199.3206921,182.6813022,189.1212924,187.934761
8/9/2019,186.4900055,40.03957628,-1.009199513,199.1126338,182.1853612,188.8706936,187.8781039
8/12/2019,184.3500061,34.87179914,-0.98375673,198.8994153,181.4185809,188.4401519,187.7397471
8/13/2019,188.3899994,40.02360882,-0.656673007,198.5773154,181.2646814,188.4353755,187.7652472
8/14/2019,182.7599945,36.00635149,-0.773292855,198.5975572,180.3004393,187.894863,187.5689628
8/15/2019,182.5500031,32.24637774,-0.814249017,198.4861148,179.4248822,187.3858287,187.3721408
8/16/2019,185.4799957,38.01782007,-0.603391365,198.2792639,179.0787332,187.2043208,187.2979391
8/19/2019,188.4299927,43.35402465,-0.243103324,197.901567,179.0464295,187.3210515,187.3423333
8/20/2019,186.9700012,44.7091875,-0.088923179,197.2388335,179.0271638,187.2876181,187.3277321
8/21/2019,188.6300049,48.08758108,0.127303625,196.3013982,179.3126002,187.4154645,187.3788016
8/22/2019,188.0200043,50.89214202,0.225928585,195.6373602,179.4486383,187.4730397,187.4039468
8/23/2019,182.0700073,51.81672056,-0.095628122,194.4549859,179.3090141,186.9584652,187.1947727
8/26/2019,184.8200073,52.1024454,-0.108258589,193.0724718,179.7115293,186.7548025,187.1016446
8/27/2019,184.4299927,50.24656552,-0.126739619,191.6714836,180.1775169,186.5333921,186.996874
8/28/2019,185.0899963,45.21870255,-0.080620282,190.835054,180.4129456,186.3959258,186.9220945
8/29/2019,187.9199982,52.09002197,0.142239626,190.4012626,180.6237374,186.5410756,186.9612279
8/30/2019,187.4700012,54.79704208,0.254548362,190.4170422,180.6199573,186.6295447,186.9811798
9/3/2019,185.6499939,45.47853925,0.203667327,190.1138944,181.4151049,186.5362541,186.9289765
9/4/2019,188.3300018,60.18282647,0.339885636,190.3437095,181.6922906,186.7070872,186.9839186
9/5/2019,191.7799988,65.08661691,0.634597631,191.338835,181.4501649,187.1902217,187.1720002
9/6/2019,191.5899963,60.96947204,0.779458474,191.9720861,181.149914,187.6092478,187.345255
9/9/2019,191.1900024,55.45456081,0.807623967,192.5888707,181.0031291,187.9502721,187.4960294
9/10/2019,190.6399994,57.52356226,0.74975662,193.0259151,181.1950841,188.2064366,187.6193223
9/11/2019,192.4299927,57.74874544,0.788623312,193.6711896,180.9538089,188.60868,187.807976
9/12/2019,193.2299957,60.54226391,0.821107272,194.3389039,181.3330947,189.0488053,188.0206043
9/13/2019,192.5399933,76.915093,0.750927657,194.6610977,182.0098999,189.3812994,188.1978352
